,id,name,year,rating,certificate,duration,genre,votes,gross_income,directors_id,directors_name,stars_id,stars_name,description
0,tt0709505,starsky and hutch,(1975–1979),7.8,not certified,60 min,"action, crime, drama",202,0,nm0001274,paul michael glaser,"nm0815800,nm0001274,nm0267279,nm0357745","david soul,paul michael glaser,antonio fargas,bernie hamilton","a serial killer who preys on prostitutes is wounded during his latest attack. when he takes hutch's friend and her invalid mother hostage in their home, hutch poses as a paramedic to get inside the house."
1,tt8454138,sunny day,(2017–2021),11.0,not certified,22 min,"animation, comedy, family",0,0,"nm0783075,nm3218007","shawn seles,dave barton thomas","nm10486638,nm5116352,nm8870663,nm0240010","chloe bixby,lilla crawford,jesus del orden,kevin duda","junior is disappointed the circus isn't coming to friendly falls, and sunny's inability to contact the ringmaster doesn't help. so she decides to put on a show of their own...which proves more difficult than she thought."
2,tt5245788,r.e.m. sleep,(2015),11.0,not certified,6 min,"short, comedy, thriller",0,0,"nm7767600,nm7767599,nm7767598,nm7767601","maria gordon,kyle licht,victor schmitt,rose tachie","nm7767598,nm7767601,nm7767600,nm7767599","victor schmitt,rose tachie,maria gordon,kyle licht",a man awakes to realize his seemingly normal morning routine is not at all what he expected.
3,tt18938680,sayap-sayap patah,(2022),11.0,not certified,0 min,"drama, romance, war",0,0,nm1070336,rudy soedjarwo,"nm1127373,nm3072816,nm5142845,nm4843304","nicholas saputra,ariel tatum,iwa k.,khiva iskak","adji and nani are a happily married couple. happiness is more complete when nani is known to be pregnant. as time goes by, nani's womb is getting bigger."
4,tt1912555,adventure time,(2010–2018),8.8,tv-pg,10 min,"animation, action, adventure","1,567",0,"nm2634350,nm0500072","bong hee han,larry leichliter","nm1660179,nm0224007,nm0444786,nm0906945","jeremy shada,john dimaggio,tom kenny,hynden walch","the lich, the greatest form of pure evil in the land of ooo, is accidentally unleashed. with the highest stakes, finn and jake set out on the most serious adventure of their career."
5,tt12512410,lamput,(2017– ),11.0,not certified,0 min,"animation, adventure, comedy",0,0,"/name/nm11402412/,/name/nm11402411/","vaibhav kumaresh,anand sudheer babu",anonymous,nm0000000,"ahead of the big dance, skinny practices his moves so hard that he knocks himself out. enter a very orange guardian angel."
6,tt3921842,jaffa factory,(2012–2016),9.0,not certified,19 min,"comedy, sci-fi",151,0,anonymous,nm0000000,"nm4489288,nm6456058,nm4755526,nm5502588","lewis brindley,duncan jones,simon lane,paul sykes","the yogscast boys xephos, honeydew and lividcoffee is on a quest to create a jaffa cake factory known as honeydew inc in the plains. but little do they know a rival dirt factory is opening ...                see full summary »"
7,tt1479627,super password,(1984–2014),11.0,tv-g,21 min,"family, game-show",0,0,anonymous,nm0000000,"nm0176622,nm0420399,nm0062168,nm0924508","bert convy,rich jeffries,jon 'bowzer' bauman,betty white","two teams, consisting of a celebrity guest and a contestant, guess words from one word clues given by their partners, with each ""password"" a clue to the ""password puzzle"" (the name of a ...                see full summary »"
8,tt7450002,six,(2017–2018),7.5,not certified,44 min,"action, drama, history",185,0,nm0004121,mikael salomon,"nm1289351,nm0772704,nm0704696,nm0388064","barry sloane,kyle schmid,juan pablo raba,edwin hodge",navy seal team six attempt to eliminate a taliban leader in afghanistan when they discover an american citizen working with the enemy.
9,tt16495052,clicker,(2022),8.5,not certified,9 min,"animation, short",7,0,nm13766212,charles kugler,"nm11955090,nm13296456,nm11158673","dustin vuong nguyen,mike scandora,weston koury",two boyfriends take a tour of their dysfunctional relationship through the magic of television.
10,tt1723025,la carta del rajá,(2009),6.5,not certified,80 min,animation,9,0,/name/nm0087689/,ángel blasco,anonymous,nm0000000,"when his father dies, amal, a six-year-old indian boy, becomes an orphan and moves to another region of india to live with his aunt and uncle. amal is quick to become a part of his new town...                see full summary »"
11,tt10845376,janelas,(2018),11.0,not certified,96 min,"drama, history",0,0,nm10924308,lucas marques,"nm1975595,nm10928181,nm10928686,nm10928390","marina azze,vitória raciane,maria brasil,inez azze","in the beginning of the 20th century, antônia must keep the secrets of her family from her daughters, especially when people from her past come to the family farm after the death of antônia's mother and she becomes the matriarch."
12,tt11053332,mayans m.c.,(2018– ),8.0,tv-ma,45 min,"crime, drama, thriller",425,0,nm0000693,peter weller,"nm1238555,nm6384710,nm0092961,nm0409831","jd pardo,clayton cardenas,sarah bolger,michael irby","the mayans learn of another biker gang working their stomping grounds in human trafficking, which pablo blames on himself being too focused on galindo and his venture. the mc go after the ...                see full summary »"
13,tt5578812,the ranch,(2016–2020),7.4,tv-ma,27 min,"comedy, drama, western",597,0,nm0870699,david trainer,"nm0005110,nm0005194,nm0000700,nm0000385","ashton kutcher,danny masterson,debra winger,sam elliott",rooster and colt's long-simmering rivalry comes to a head on the first day of hunting season. but their bickering has an upside for beau and maggie.
14,tt4994782,the testimony,(2015),7.3,not rated,28 min,"documentary, short, crime",158,0,/name/nm10324382/,vanessa block,anonymous,nm0000000,"the conflict in the democratic republic of the congo has cost more lives than any other since world war ii. the testimony chronicles the largest rape tribunal in congo's history, offering ...                see full summary »"
15,tt15302290,annabelle sethupathi,(2021),3.6,not certified,135 min,"comedy, fantasy, horror","2,170","10,004,817",nm4959705,deepak sundarrajan,"nm4043111,nm3966456,nm0045075,nm0707399","vijay sethupathi,taapsee pannu,jagapathi babu,rajendra prasad","rudra, a small-time burglar gets into a palace full of ghosts. along with the ghost, she finds out the mystery about the owner of the palace- annabelle sethupathi."
16,tt3188850,sons of anarchy,(2008–2014),8.2,tv-ma,64 min,"crime, drama, thriller","1,789",0,nm0317382,billy gierhart,"nm0402271,nm0005408,nm0095478,nm0130502","charlie hunnam,katey sagal,mark boone junior,dayton callie",jax looks to push the club forward but the irish put another obstacle in his way.
